STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,PPT_Inches
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/15/2010,,,,0.04,0.5,11,26,-1,19,0.04
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/16/2010,,,,0,0,10,28,19,,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/17/2010,,,,0,0,10,32,23,27,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/18/2010,,,,0,0,9,35,7,13,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/19/2010,,,,0,0,8,35,3,17,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/20/2010,,,,0,0,8,39,16,29,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/21/2010,,,,0.03,1,9,32,24,26,0.03
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/22/2010,,,,0.01,0.4,8,35,26,28,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/23/2010,,,,0.01,0.3,7,33,24,24,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/24/2010,,,,0.01,0.2,7,32,16,17,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/25/2010,,,,0,0,7,25,-2,5,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/26/2010,,,,0,0,7,25,-1,11,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/27/2010,,,,0,0,7,32,11,27,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/28/2010,,,,0,0,6,39,27,30,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/1/2010,,,,0,0,5,34,24,26,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/2/2010,,,,0,0,5,36,9,18,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/3/2010,,,,0,0,4,35,6,19,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/4/2010,,,,0,0,4,39,6,14,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/5/2010,,,,0,0,3,41,13,26,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/6/2010,,,,0,0,3,46,16,29,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/7/2010,,,,0,0,3,46,20,35,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/8/2010,,,,0,0,2,46,24,31,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/9/2010,,,,0,0,2,52,28,34,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/10/2010,,,,0.13,0,1,43,34,40,0.13
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/11/2010,,,,0.24,0,0,43,38,41,0.24
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/12/2010,,,,0.25,0,0,47,39,41,0.25
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/13/2010,,,,0.02,0,0,45,39,40,0.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/14/2010,,,,0,0,0,47,35,38,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/15/2010,,,,0,0,0,63,30,35,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/16/2010,,,,0,0,0,62,30,35,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/17/2010,,,,0,0,0,62,27,33,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/18/2010,,,,0,0,0,65,33,42,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/19/2010,,,,0,0,0,64,42,44,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/20/2010,,,,0,0,0,48,27,29,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/21/2010,,,,0,0,0,42,19,24,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/22/2010,,,,0,0,0,51,24,35,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/23/2010,,,,0,0,0,54,23,36,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/24/2010,,,,0,0,0,57,28,36,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/25/2010,,,,0,0,0,58,29,33,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/26/2010,,,,0,0,0,39,16,19,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/27/2010,,,,0,0,0,43,21,34,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/28/2010,,,,0,0,0,46,28,35,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/29/2010,,,,0,0,0,51,17,26,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/30/2010,,,,0,0,0,53,26,36,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",3/31/2010,,,,0,0,0,68,36,50,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/1/2010,,,,0,0,0,76,46,58,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/2/2010,,,,0,0,0,77,35,58,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/3/2010,,,,0.17,0,0,80,44,44,0.17
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/4/2010,,,,0,0,0,59,43,43,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/5/2010,,,,0,0,0,67,41,49,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/6/2010,,,,0.38,0,0,64,45,55,0.38
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/7/2010,,,,0.89,0,0,49,43,44,0.89
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/8/2010,,,,0.1,0,0,44,31,38,0.1
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/9/2010,,,,0,0,0,38,20,31,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/10/2010,,,,0,0,0,58,31,45,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/11/2010,,,,0,0,0,62,27,45,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/12/2010,,,,0,0,0,67,40,54,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/13/2010,,,,0.02,0,0,62,46,46,0.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/14/2010,,,,0,0,0,60,44,48,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/15/2010,,,,0,0,0,80,48,65,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/16/2010,,,,0.05,0,0,81,46,49,0.05
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/17/2010,,,,0,0,0,60,33,43,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/18/2010,,,,0,0,0,60,26,43,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/19/2010,,,,0,0,0,60,33,45,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/20/2010,,,,0,0,0,63,33,46,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/21/2010,,,,0,0,0,70,37,40,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/22/2010,,,,0,0,0,56,30,43,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/23/2010,,,,0,0,0,62,33,47,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/24/2010,,,,0.23,0,0,67,46,47,0.23
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/25/2010,,,,0.7,0,0,51,44,45,0.7
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/26/2010,,,,0.11,0,0,54,36,48,0.11
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/27/2010,,,,0,0,0,65,35,45,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/28/2010,,,,0,0,0,58,34,46,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/29/2010,,,,0,0,0,63,53,44,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",4/30/2010,,,,0,0,0,73,53,63,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/1/2010,,,,0.33,0,0,77,54,59,0.33
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/2/2010,,,,0,0,0,69,52,57,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/3/2010,,,,0,0,0,73,46,53,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/4/2010,,,,0,0,0,63,39,54,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/5/2010,,,,0.6,0,0,79,47,53,0.6
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/6/2010,,,,0,0,0,65,43,46,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/7/2010,,,,0,0,0,46,32,,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/8/2010,,,,0.88,0,0,59,33,37,0.88
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/9/2010,,,,0,0,0,59,26,35,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/10/2010,,,,0,0,0,58,34,45,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/11/2010,,,,0.33,0,0,59,39,40,0.33
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/12/2010,,,,0.16,0,0,43,40,43,0.16
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/13/2010,,,,1.02,0,0,52,43,47,1.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/14/2010,,,,0.09,0,0,57,44,50,0.09
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/15/2010,,,,0,0,0,66,36,39,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/16/2010,,,,0,0,0,67,39,47,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/17/2010,,,,0,0,0,68,47,56,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/18/2010,,,,0,0,0,70,43,59,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/19/2010,,,,0,0,0,74,40,60,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/20/2010,,,,0,0,0,80,45,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/21/2010,,,,0.08,0,0,80,55,57,0.08
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/22/2010,,,,0.02,0,0,60,53,58,0.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/23/2010,,,,0,0,0,75,58,66,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/24/2010,,,,0,0,0,90,66,76,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/25/2010,,,,0,0,0,91,70,76,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/26/2010,,,,0,0,0,88,61,73,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/27/2010,,,,0,0,0,84,52,66,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/28/2010,,,,0,0,0,84,56,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/29/2010,,,,0,0,0,85,59,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/30/2010,,,,0,0,0,86,63,75,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",5/31/2010,,,,0.1,0,0,91,63,67,0.1
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/1/2010,,,,0,0,0,79,50,,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/2/2010,,,,0,0,0,87,63,66,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/3/2010,,,,0.35,0,0,73,52,58,0.35
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/4/2010,,,,0.3,0,0,74,55,,0.3
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/5/2010,,,,0.4,,0,,55,66,0.4
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/6/2010,,,,0.63,0,0,71,52,52,0.63
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/7/2010,,,,0,0,0,72,52,59,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/8/2010,,,,0.08,0,0,72,50,50,0.08
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/9/2010,,,,0.43,0,0,69,50,68,0.43
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/10/2010,,,,0,0,0,76,49,61,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/11/2010,,,,0.45,0,0,69,55,57,0.45
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/12/2010,,,,0.65,0,0,76,57,62,0.65
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/13/2010,,,,0,0,0,65,60,62,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/14/2010,,,,0.02,0,0,69,61,65,0.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/15/2010,,,,0.53,0,0,67,60,61,0.53
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/16/2010,,,,0.17,0,0,67,61,64,0.17
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/17/2010,,,,0,0,0,83,57,59,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/18/2010,,,,0.26,0,0,83,63,70,0.26
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/19/2010,,,,0,0,0,83,62,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/20/2010,,,,0,0,0,76,55,64,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/21/2010,,,,0,0,0,80,64,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/22/2010,,,,0.09,0,0,78,58,70,0.09
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/23/2010,,,,0.27,0,0,82,63,,0.27
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/24/2010,,,,0,0,0,87,61,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/25/2010,,,,0,0,0,79,58,72,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/26/2010,,,,0.67,0,0,83,65,73,0.67
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/27/2010,,,,1.9,0,0,84,65,66,1.9
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/28/2010,,,,0,0,0,82,62,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/29/2010,,,,0,0,0,74,61,61,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",6/30/2010,,,,0,0,0,71,52,44,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/1/2010,,,,0,0,0,74,54,66,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/2/2010,,,,0,0,0,79,54,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/3/2010,,,,0,0,0,83,60,72,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/4/2010,,,,0,0,0,87,70,79,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/5/2010,,,,0.74,0,0,85,69,71,0.74
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/6/2010,,,,0.79,0,0,76,71,74,0.79
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/7/2010,,,,0.03,0,0,82,68,75,0.03
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/8/2010,,,,2.2,0,0,81,67,69,2.2
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/9/2010,,,,0,0,0,81,59,70,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/10/2010,,,,0,0,0,83,59,72,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/11/2010,,,,0.81,0,0,85,62,74,0.81
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/12/2010,,,,0.12,0,0,81,63,65,0.12
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/13/2010,,,,0,0,0,82,62,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/14/2010,,,,0,0,0,80,64,72,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/15/2010,,,,2.85,0,0,84,67,70,2.85
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/16/2010,,,,0,0,0,79,63,74,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/17/2010,,,,0,0,0,87,64,71,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/18/2010,,,,0.01,0,0,87,64,69,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/19/2010,,,,0,0,0,87,61,73,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/20/2010,,,,0.01,0,0,83,63,64,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/21/2010,,,,0,0,0,84,61,,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/22/2010,,,,0.03,0,0,83,61,64,0.03
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/23/2010,,,,1.1,0,0,72,64,72,1.1
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/24/2010,,,,1.3,0,0,85,68,73,1.3
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/25/2010,,,,0,0,0,79,60,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/26/2010,,,,0,0,0,82,59,71,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/27/2010,,,,0,0,0,84,65,71,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/28/2010,,,,0.56,0,0,87,67,70,0.56
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/29/2010,,,,0,0,0,80,56,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/30/2010,,,,0,0,0,81,56,69,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",7/31/2010,,,,0.05,0,0,81,56,65,0.05
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/1/2010,,,,0,0,0,79,62,67,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/2/2010,,,,0,0,0,85,67,73,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/3/2010,,,,0,0,0,85,67,73,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/4/2010,,,,0,0,0,89,69,71,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/5/2010,,,,0,0,0,85,63,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/6/2010,,,,0,0,0,78,56,64,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/7/2010,,,,0,0,0,79,57,64,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/8/2010,,,,2.73,0,0,84,65,66,2.73
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/9/2010,,,,0.05,0,0,82,66,74,0.05
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/10/2010,,,,0,0,0,88,65,75,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/11/2010,,,,1.2,0,0,88,69,71,1.2
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/12/2010,,,,0,0,0,85,71,76,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/13/2010,,,,0,0,0,91,73,73,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/14/2010,,,,1.26,0,0,76,66,71,1.26
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/15/2010,,,,0,0,0,85,61,65,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/16/2010,,,,0,0,0,76,55,62,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/17/2010,,,,0,0,0,76,53,57,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/18/2010,,,,0,0,0,71,53,63,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/19/2010,,,,0,0,0,80,63,69,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/20/2010,,,,0.01,0,0,80,64,69,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/21/2010,,,,0.12,0,0,85,66,69,0.12
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/22/2010,,,,0.01,0,0,80,58,69,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/23/2010,,,,0,0,0,85,61,66,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/24/2010,,,,0,0,0,82,61,68,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/25/2010,,,,0,0,0,79,49,60,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/26/2010,,,,0,0,0,72,44,57,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/27/2010,,,,0,0,0,76,57,69,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/28/2010,,,,0,0,0,86,63,70,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/29/2010,,,,0,0,0,83,58,61,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/30/2010,,,,0,0,0,90,61,73,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",8/31/2010,,,,0,0,0,87,71,74,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",9/1/2010,,,,0.12,0,0,80,60,69,0.12
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",9/2/2010,,,,0,0,0,79,61,65,0
